post,versionId,condition,run,charCount,clarity,relevance,professional,engagement,overall,decision,coherenceClamped,judgeModel,judgeTemperature,rubricHash,judgedAt
I,0b2248eb-622b-4e8f-82e2-2624e6fce506,original,2,1309,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:50:06.716Z
I,0b2248eb-622b-4e8f-82e2-2624e6fce506,original,3,1309,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:50:13.815Z
I,0b2248eb-622b-4e8f-82e2-2624e6fce506,original,4,1309,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:50:17.470Z
I,0b2248eb-622b-4e8f-82e2-2624e6fce506,original,5,1309,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:50:32.523Z
I,0b2248eb-622b-4e8f-82e2-2624e6fce506,truncated35,1,448,3,3,4,2,3,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:50:35.183Z
E,e33f2e99-0499-4a66-a196-3f53ce44ea34,original,1,938,4,3,4,4,4,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:50:37.735Z
E,e33f2e99-0499-4a66-a196-3f53ce44ea34,original,2,938,4,3,4,4,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:50:45.621Z
E,e33f2e99-0499-4a66-a196-3f53ce44ea34,original,3,938,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:50:54.895Z
E,e33f2e99-0499-4a66-a196-3f53ce44ea34,original,4,938,4,3,4,4,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:50:59.714Z
E,e33f2e99-0499-4a66-a196-3f53ce44ea34,original,5,938,4,3,4,4,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:51:08.102Z
E,e33f2e99-0499-4a66-a196-3f53ce44ea34,truncated35,1,314,3,2,4,2,2,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:51:12.915Z
H,8c2fce5f-8d39-4002-9221-af4bdc7bfafe,original,1,1555,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:51:19.657Z
H,8c2fce5f-8d39-4002-9221-af4bdc7bfafe,original,2,1555,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:51:27.927Z
H,8c2fce5f-8d39-4002-9221-af4bdc7bfafe,original,3,1555,4,3,3,3,3,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:51:32.245Z
H,8c2fce5f-8d39-4002-9221-af4bdc7bfafe,original,4,1555,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:51:47.170Z
H,8c2fce5f-8d39-4002-9221-af4bdc7bfafe,original,5,1555,4,3,3,3,3,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:51:49.318Z
H,8c2fce5f-8d39-4002-9221-af4bdc7bfafe,truncated35,1,543,3,3,4,2,3,REJECT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:51:53.227Z
C,62f5e3bd-2042-48c8-a342-f02184e29066,original,1,1183,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:52:02.230Z
C,62f5e3bd-2042-48c8-a342-f02184e29066,original,2,1183,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:52:05.804Z
C,62f5e3bd-2042-48c8-a342-f02184e29066,original,3,1183,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:52:13.690Z
C,62f5e3bd-2042-48c8-a342-f02184e29066,original,4,1183,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:52:20.963Z
C,62f5e3bd-2042-48c8-a342-f02184e29066,original,5,1183,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:52:27.726Z
C,62f5e3bd-2042-48c8-a342-f02184e29066,truncated35,1,411,4,3,4,3,3,ACCEPT,false,gpt-4.1,0.1,732946eb8d5147df,2026-09-13T23:52:34.676Z
